type,area_in_marla,bedroom,bath,location_city,price
House,12.396694214876034,5.0,6.0,Karachi,62500000.0
House,16.52892561983471,7.0,7.0,Karachi,115000000.0
Flat,3.669421487603306,2.0,2.0,Karachi,11500000.0
House,7.933884297520661,7.0,6.0,Karachi,53000000.0
Flat,5.322314049586777,2.0,3.0,Karachi,55000000.0
Flat,9.917355371900827,3.0,3.0,Karachi,71000000.0
Flat,3.8677685950413223,2.0,2.0,Karachi,10500000.0
House,16.52892561983471,5.0,5.0,Karachi,102500000.0
Flat,9.553719008264462,4.0,5.0,Karachi,40000000.0
Flat,2.5785123966942147,2.0,2.0,Karachi,7500000.0
House,11.570247933884298,4.0,4.0,Karachi,81000000.0
House,11.570247933884298,4.0,4.0,Karachi,17600000.0
Flat,8.264462809917354,3.0,3.0,Karachi,16500000.0
House,8.991735537190083,5.0,5.0,Karachi,27500000.0
Flat,6.413223140495868,3.0,3.0,Karachi,29000000.0
Flat,6.975206611570248,3.0,3.0,Karachi,18500000.0
House,33.05785123966942,7.0,7.0,Karachi,420000000.0
Flat,6.6115702479338845,2.0,4.0,Karachi,62500000.0
Flat,4.1652892561983474,3.0,3.0,Karachi,12000000.0
House,7.768595041322314,3.0,3.0,Karachi,13000000.0
Upper Portion,9.917355371900827,3.0,3.0,Karachi,32500000.0
House,6.6115702479338845,3.0,3.0,Karachi,17000000.0
House,16.52892561983471,5.0,5.0,Karachi,98500000.0
Flat,22.049586776859503,3.0,3.0,Karachi,300000000.0
Flat,4.231404958677686,2.0,2.0,Karachi,16000000.0
House,6.6115702479338845,3.0,3.0,Karachi,15500000.0
House,5.024793388429752,3.0,3.0,Karachi,14500000.0
House,3.9669421487603307,4.0,5.0,Karachi,21800000.0
House,16.52892561983471,6.0,6.0,Karachi,185000000.0
House,11.570247933884298,4.0,4.0,Karachi,18000000.0
House,3.3057851239669422,4.0,5.0,Karachi,34500000.0
Flat,8.264462809917354,3.0,3.0,Karachi,16500000.0
House,19.834710743801654,9.0,6.0,Karachi,60000000.0
Flat,3.5041322314049586,2.0,2.0,Karachi,7500000.0
Flat,3.5041322314049586,2.0,2.0,Karachi,7000000.0
Flat,7.8347107438016526,4.0,5.0,Karachi,32500000.0
House,3.9669421487603307,4.0,4.0,Karachi,32500000.0
Flat,5.256198347107438,2.0,3.0,Karachi,17200000.0
House,3.3057851239669422,3.0,3.0,Karachi,42500000.0
Flat,3.206611570247934,2.0,2.0,Karachi,19000000.0
Upper Portion,7.933884297520661,3.0,3.0,Karachi,18900000.0
House,12.396694214876034,5.0,5.0,Karachi,61500000.0
House,7.933884297520661,6.0,6.0,Karachi,40000000.0
Flat,21.289256198347108,4.0,5.0,Karachi,261000000.0
House,16.52892561983471,5.0,5.0,Karachi,100000000.0
